ncdeq_id,id_gee,code,name,area_sq_km,year_cor,lon,lat,type,boundary,wang_id,county,facility_name,combined_owner,regulated_operation,permit_type,regulated_activity,allowable_count,number_of_lagoons,issued_date,effective_date,expiration_date,admin_region,location_lat_num,location_long_num,address_1,address_2,city,state,zip,min_sprayable_acres,max_sprayable_acres
AWS960069,X3269,NA,WAYNE,1442.581149,1994,-78.03759675,35.23938484,county,county,096_H_238,wayne,George Hall Farm,George Hall,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.2394,-78.0364,188 Parker Rd,NA,Mount Olive,NC,28365,31.949347068493154,66.17214197851072
AWS960069,X3269,30202,Neuse,15703.36,1994,-78.03759675,35.23938484,hydrology,HUC6,096_H_238,wayne,George Hall Farm,George Hall,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.2394,-78.0364,188 Parker Rd,NA,Mount Olive,NC,28365,31.949347068493154,66.17214197851072
AWS960069,X3269,30202011401,Brooks Swamp,41.79,1994,-78.03759675,35.23938484,hydrology,HUC12,096_H_238,wayne,George Hall Farm,George Hall,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.2394,-78.0364,188 Parker Rd,NA,Mount Olive,NC,28365,31.949347068493154,66.17214197851072
AWS960070,X3386,30202,Neuse,15703.36,1995,-77.82816702,35.27638089,hydrology,HUC6,096_H_197,wayne,James Sutton Farm,James Sutton,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.2797,-77.8292,646 Garris Chapel Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960070,X3386,NA,LENOIR,1041.118789,1995,-77.82816702,35.27638089,county,county,096_H_197,wayne,James Sutton Farm,James Sutton,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.2797,-77.8292,646 Garris Chapel Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960070,X3386,30202020107,Walnut Creek-Neuse River,59.92,1995,-77.82816702,35.27638089,hydrology,HUC12,096_H_197,wayne,James Sutton Farm,James Sutton,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.2797,-77.8292,646 Garris Chapel Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960071,X3362,NA,WAYNE,1442.581149,1993,-78.1693963,35.33304164,county,county,096_H_118,wayne,Sanderson Swine,Sanderson Swine LLC,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,11/30/18,11/30/18,9/30/19,Washington,35.3333,-78.1692,3871 Stevens Mill Rd,NA,Goldsboro,NC,27530,31.949347068493154,66.17214197851072
AWS960071,X3362,30202,Neuse,15703.36,1993,-78.1693963,35.33304164,hydrology,HUC6,096_H_118,wayne,Sanderson Swine,Sanderson Swine LLC,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,11/30/18,11/30/18,9/30/19,Washington,35.3333,-78.1692,3871 Stevens Mill Rd,NA,Goldsboro,NC,27530,31.949347068493154,66.17214197851072
AWS960071,X3362,30202011404,Lower Falling Creek,68.27,1993,-78.1693963,35.33304164,hydrology,HUC12,096_H_118,wayne,Sanderson Swine,Sanderson Swine LLC,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,11/30/18,11/30/18,9/30/19,Washington,35.3333,-78.1692,3871 Stevens Mill Rd,NA,Goldsboro,NC,27530,31.949347068493154,66.17214197851072
AWS960072,X3343,NA,WAYNE,1442.581149,1995,-77.83670434,35.35830333,county,county,096_H_097,wayne,Daryl Anderson Farm,Daryl Anderson,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3583,-77.8367,Racetrack Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960072,X3343,30202,Neuse,15703.36,1995,-77.83670434,35.35830333,hydrology,HUC6,096_H_097,wayne,Daryl Anderson Farm,Daryl Anderson,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3583,-77.8367,Racetrack Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960072,X3343,30202020201,West Bear Creek,61.11,1995,-77.83670434,35.35830333,hydrology,HUC12,096_H_097,wayne,Daryl Anderson Farm,Daryl Anderson,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3583,-77.8367,Racetrack Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960073,X3334,30202,Neuse,15703.36,1995,-77.82326846,35.42007681,hydrology,HUC6,096_H_061,wayne,Chris Creech Farm,Christopher Creech,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.42,-77.8233,875 Rodel Barrow Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960073,X3334,30202020202,Headwaters Bear Creek,61.55,1995,-77.82326846,35.42007681,hydrology,HUC12,096_H_061,wayne,Chris Creech Farm,Christopher Creech,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.42,-77.8233,875 Rodel Barrow Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960073,X3334,NA,WAYNE,1442.581149,1995,-77.82326846,35.42007681,county,county,096_H_061,wayne,Chris Creech Farm,Christopher Creech,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.42,-77.8233,875 Rodel Barrow Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960074,X3325,30202,Neuse,15703.36,1995,-78.07888991,35.44816548,hydrology,HUC6,096_H_051,wayne,Polly Smith Farm,Lehman Smith,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,9/9/16,9/9/16,9/30/19,Washington,35.4481,-78.0783,317 Aulander Rd,NA,Goldsboro,NC,27530,31.949347068493154,66.17214197851072
AWS960074,X3325,30202011603,Dennis Branch-Little River,51.52,1995,-78.07888991,35.44816548,hydrology,HUC12,096_H_051,wayne,Polly Smith Farm,Lehman Smith,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,9/9/16,9/9/16,9/30/19,Washington,35.4481,-78.0783,317 Aulander Rd,NA,Goldsboro,NC,27530,31.949347068493154,66.17214197851072
AWS960074,X3325,NA,WAYNE,1442.581149,1995,-78.07888991,35.44816548,county,county,096_H_051,wayne,Polly Smith Farm,Lehman Smith,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,9/9/16,9/9/16,9/30/19,Washington,35.4481,-78.0783,317 Aulander Rd,NA,Goldsboro,NC,27530,31.949347068493154,66.17214197851072
AWS960075,X3203,30202011403,Upper Falling Creek,108.16,1995,-78.20039684,35.27940621,hydrology,HUC12,096_H_171,wayne,Jay Weaver Farm,Jay Weaver,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.2792,-78.2006,Corbett Hill Rd,NA,Mount Olive,NC,28365,31.949347068493154,66.17214197851072
